NAME,OBJ_ID,CENTER_X,CENTER_Y,MAG,TAG
V,11,1218.27,828.19,10.9101
C1,5,1205.19,767.79,10.6735
C2,9,1248.29,641.73,10.8853
C3,15,1283.74,1238.50,11.2037
C4,27,1674.22,442.68,11.6387
C5,2,1010.52,517.85,10.4238
K1,17,1871.44,111.56,11.2688
K2,6,225.14,816.41,10.7302
K3,8,1792.58,620.26,10.8963
K4,28,674.80,130.71,11.7432
1,1846.28,1176.60,10.3139
3,856.58,713.82,10.5466
4,1484.52,1495.21,10.6060
7,1870.43,1381.84,10.7400
10,1666.18,218.41,10.8561
12,2088.23,1437.63,10.9003
13,6.43,576.17
14,431.78,611.41,11.2602
16,1294.35,1503.36,11.1955
18,1879.24,775.60,11.2613
19,1928.23,1312.63,11.2709
20,2208.35,435.16,11.3798
21,1857.27,422.22,11.3208
22,1972.12,1324.25,11.3382
23,2211.19,420.47,11.4700
24,838.46,1218.45,11.5627
25,1926.31,1006.42,11.5105
26,1634.47,1549.81,11.5857
29,21.23,338.41,11.8255
30,652.18,409.36,11.9305
31,496.25,481.67,11.9513
32,812.20,742.65,11.9905
33,1690.30,950.19,11.9589
34,688.24,807.85,11.9953
35,840.58,563.80,12.0456
36,1080.32,624.77,12.0140
37,11.77,421.53,12.0784
38,1621.70,932.79,12.1099
39,1401.50,201.83,12.1844
40,355.73,259.71,12.2329
41,1794.36,1514.39,12.1942
42,1225.27,714.19,12.3211
43,861.21,1260.67,12.2920
44,734.43,467.51,12.3891
45,551.17,438.69,12.3982
46,139.76,702.43,12.4163
47,1197.46,1374.21,12.3559
48,1416.12,1524.42,12.3716
49,140.37,376.57,12.5242
50,2161.49,74.30,12.4888
51,1660.51,782.77,12.4575
52,1403.48,1554.83,12.4717
53,1480.34,382.60,12.5273
54,1227.19,591.84,12.5863
55,1145.20,1475.60,12.5882
56,335.23,823.51,12.6157
57,1954.20,808.34,12.5481
58,1422.69,208.76,12.6445
59,2184.62,1499.22,12.5526
60,976.51,1221.21,12.5753
61,246.41,1332.82,12.6932
62,442.42,782.69,12.7083
63,968.32,364.40,12.7097
64,672.16,1343.42,12.7372
65,904.36,362.60,12.7240
66,635.28,1568.60,12.7238
67,2297.23,1044.67,12.7325
68,1782.54,786.61,12.7164
69,2256.32,1017.75,12.8684
70,1634.43,349.76,12.8560
