JD V-C s1 V-K1 s2 V-K2 s3 V-K3 s4 V-K4 s5 C1-K1 s6 C1-K2 s7 C1-K3 s8 C1-K4 s9 C2-K1 s10 C2-K2 s11 C2-K3 s12 C2-K4 s13 C3-K1 s14 C3-K2 s15 C3-K3 s16 C3-K4 s17 C4-K1 s18 C4-K2 s19 C4-K3 s20 C4-K4 s21 C5-K1 s22 C5-K2 s23 C5-K3 s24 C5-K4 s25 K1-K2 s26 K1-K3 s27 K1-K4 s28 K2-K3 s29 K2-K4 s30 K3-K4 s31
Aperture: 6, Filter: L, JD: geocentric
2459492.3004051 0.01506 0.00358 -0.36557 0.00503 0.17890 0.00440 0.01066 0.00456 -0.84442 0.00581 -0.58929 0.00483 -0.04482 0.00417 -0.21306 0.00434 -1.06814 0.00564 -0.38217 0.00501 0.16230 0.00439 -0.00594 0.00455 -0.86102 0.00580 -0.05817 0.00537 0.48630 0.00479 0.31806 0.00494 -0.53702 0.00611 0.36402 0.00597 0.90849 0.00545 0.74025 0.00558 -0.11483 0.00664 -0.84942 0.00463 -0.30496 0.00395 -0.47320 0.00413 -1.32828 0.00548 0.54447 0.00487 0.37623 0.00502 -0.47885 0.00618 -0.16824 0.00439 -1.02332 0.00568 -0.85508 0.00581
2459492.3011574 0.02853 0.00358 -0.35687 0.00503 0.18111 0.00441 0.01819 0.00457 -0.83341 0.00581 -0.59724 0.00481 -0.05926 0.00417 -0.22217 0.00433 -1.07378 0.00562 -0.38534 0.00500 0.15264 0.00438 -0.01028 0.00454 -0.86188 0.00578 -0.06833 0.00534 0.46965 0.00477 0.30673 0.00491 -0.54487 0.00608 0.36262 0.00596 0.90059 0.00545 0.73768 0.00558 -0.11393 0.00663 -0.85119 0.00463 -0.31321 0.00395 -0.47613 0.00412 -1.32774 0.00546 0.53798 0.00487 0.37506 0.00501 -0.47654 0.00616 -0.16292 0.00439 -1.01452 0.00567 -0.85160 0.00579
2459492.3019213 0.02190 0.00357 -0.36294 0.00502 0.17126 0.00441 0.01193 0.00457 -0.83929 0.00580 -0.59611 0.00481 -0.06191 0.00417 -0.22124 0.00434 -1.07246 0.00562 -0.38405 0.00500 0.15016 0.00439 -0.00918 0.00454 -0.86040 0.00578 -0.05930 0.00535 0.47490 0.00479 0.31557 0.00493 -0.53566 0.00609 0.35551 0.00594 0.88972 0.00544 0.73038 0.00556 -0.12084 0.00661 -0.85315 0.00462 -0.31894 0.00395 -0.47828 0.00412 -1.32950 0.00546 0.53421 0.00487 0.37487 0.00501 -0.47635 0.00615 -0.15934 0.00440 -1.01056 0.00567 -0.85122 0.00579
2459492.3026852 0.02101 0.00357 -0.36743 0.00502 0.17278 0.00440 0.00751 0.00457 -0.83967 0.00579 -0.59518 0.00482 -0.05497 0.00417 -0.22024 0.00434 -1.06742 0.00562 -0.39277 0.00500 0.14744 0.00438 -0.01783 0.00454 -0.86501 0.00577 -0.06344 0.00535 0.47677 0.00478 0.31150 0.00493 -0.53568 0.00608 0.36009 0.00595 0.90030 0.00544 0.73503 0.00557 -0.11215 0.00661 -0.85939 0.00462 -0.31918 0.00394 -0.48445 0.00412 -1.33163 0.00545 0.54021 0.00487 0.37494 0.00501 -0.47224 0.00615 -0.16527 0.00439 -1.01245 0.00566 -0.84718 0.00579
2459492.3034491 0.01628 0.00357 -0.36422 0.00501 0.17143 0.00440 0.00201 0.00456 -0.83556 0.00578 -0.58820 0.00481 -0.05255 0.00417 -0.22196 0.00434 -1.05953 0.00561 -0.37910 0.00500 0.15655 0.00439 -0.01287 0.00455 -0.85044 0.00577 -0.06016 0.00534 0.47549 0.00477 0.30608 0.00492 -0.53149 0.00607 0.36119 0.00594 0.89684 0.00544 0.72743 0.00557 -0.11014 0.00660 -0.84997 0.00462 -0.31432 0.00395 -0.48373 0.00413 -1.32130 0.00544 0.53565 0.00486 0.36623 0.00501 -0.47134 0.00614 -0.16942 0.00440 -1.00699 0.00565 -0.83757 0.00578
2459492.3042130 0.02125 0.00358 -0.36182 0.00503 0.17678 0.00441 0.01332 0.00457 -0.83862 0.00581 -0.59096 0.00482 -0.05237 0.00418 -0.21583 0.00434 -1.06777 0.00563 -0.38532 0.00501 0.15328 0.00439 -0.01019 0.00455 -0.86212 0.00579 -0.05896 0.00536 0.47963 0.00479 0.31617 0.00493 -0.53577 0.00609 0.35926 0.00596 0.89786 0.00545 0.73439 0.00557 -0.11754 0.00662 -0.85203 0.00463 -0.31343 0.00395 -0.47690 0.00413 -1.32883 0.00547 0.53860 0.00487 0.37513 0.00502 -0.47680 0.00616 -0.16347 0.00440 -1.01540 0.00567 -0.85194 0.00580
2459492.3049653 0.01962 0.00358 -0.36529 0.00502 0.17074 0.00441 0.01094 0.00457 -0.84517 0.00580 -0.59156 0.00482 -0.05553 0.00418 -0.21533 0.00434 -1.07144 0.00563 -0.38900 0.00500 0.14703 0.00438 -0.01276 0.00454 -0.86888 0.00579 -0.06923 0.00535 0.46680 0.00477 0.30701 0.00492 -0.54911 0.00609 0.36164 0.00596 0.89767 0.00545 0.73788 0.00557 -0.11824 0.00663 -0.85097 0.00463 -0.31494 0.00396 -0.47474 0.00413 -1.33085 0.00547 0.53603 0.00487 0.37624 0.00501 -0.47988 0.00616 -0.15979 0.00440 -1.01591 0.00567 -0.85612 0.00580
2459492.3057292 0.01830 0.00358 -0.36579 0.00503 0.17463 0.00442 0.00954 0.00457 -0.84310 0.00582 -0.59339 0.00483 -0.05297 0.00418 -0.21806 0.00435 -1.07070 0.00564 -0.38318 0.00502 0.15724 0.00440 -0.00785 0.00456 -0.86049 0.00580 -0.06295 0.00536 0.47748 0.00479 0.31239 0.00494 -0.54026 0.00611 0.36309 0.00597 0.90351 0.00546 0.73842 0.00559 -0.11422 0.00664 -0.85416 0.00464 -0.31374 0.00396 -0.47883 0.00413 -1.33147 0.00548 0.54042 0.00488 0.37533 0.00502 -0.47731 0.00617 -0.16509 0.00440 -1.01773 0.00568 -0.85264 0.00581
2459492.3064815 0.01574 0.00358 -0.37094 0.00504 0.17279 0.00441 0.00958 0.00457 -0.84117 0.00581 -0.59513 0.00484 -0.05140 0.00418 -0.21461 0.00435 -1.06536 0.00563 -0.38723 0.00502 0.15650 0.00440 -0.00671 0.00456 -0.85746 0.00579 -0.06558 0.00537 0.47815 0.00479 0.31494 0.00494 -0.53580 0.00610 0.35464 0.00597 0.89837 0.00545 0.73516 0.00558 -0.11558 0.00663 -0.85455 0.00465 -0.31082 0.00396 -0.47403 0.00414 -1.32477 0.00547 0.54373 0.00489 0.38052 0.00503 -0.47022 0.00617 -0.16321 0.00440 -1.01395 0.00567 -0.85074 0.00580
2459492.3072569 0.02263 0.00358 -0.35821 0.00502 0.17155 0.00442 0.01552 0.00457 -0.83343 0.00580 -0.58975 0.00482 -0.05999 0.00418 -0.21601 0.00434 -1.06497 0.00562 -0.38205 0.00500 0.14771 0.00439 -0.00832 0.00454 -0.85728 0.00578 -0.05822 0.00535 0.47153 0.00479 0.31551 0.00493 -0.53345 0.00608 0.36333 0.00595 0.89309 0.00545 0.73706 0.00557 -0.11190 0.00661 -0.84958 0.00462 -0.31982 0.00396 -0.47584 0.00413 -1.32480 0.00545 0.52976 0.00487 0.37373 0.00501 -0.47522 0.00615 -0.15602 0.00440 -1.00498 0.00566 -0.84896 0.00578
