JD V-C s1 V-K1 s2 V-K2 s3 V-K3 s4 V-K4 s5 C1-K1 s6 C1-K2 s7 C1-K3 s8 C1-K4 s9 C2-K1 s10 C2-K2 s11 C2-K3 s12 C2-K4 s13 C3-K1 s14 C3-K2 s15 C3-K3 s16 C3-K4 s17 C4-K1 s18 C4-K2 s19 C4-K3 s20 C4-K4 s21 C5-K1 s22 C5-K2 s23 C5-K3 s24 C5-K4 s25 K1-K2 s26 K1-K3 s27 K1-K4 s28 K2-K3 s29 K2-K4 s30 K3-K4 s31
Aperture: 6, Filter: L, JD: geocentric
2459492.3163194 0.02909 0.00354 -0.35198 0.00495 0.18038 0.00435 0.02116 0.00451 -0.83170 0.00572 -0.58827 0.00475 -0.05590 0.00412 -0.21512 0.00428 -1.06799 0.00554 -0.38837 0.00492 0.14400 0.00431 -0.01522 0.00447 -0.86809 0.00569 -0.06069 0.00527 0.47168 0.00471 0.31245 0.00485 -0.54041 0.00599 0.36696 0.00586 0.89933 0.00537 0.74011 0.00549 -0.11276 0.00652 -0.84736 0.00456 -0.31499 0.00390 -0.47421 0.00407 -1.32708 0.00538 0.53237 0.00479 0.37315 0.00493 -0.47972 0.00606 -0.15922 0.00433 -1.01209 0.00558 -0.85287 0.00570
2459492.3170833 0.01728 0.00353 -0.36724 0.00496 0.17156 0.00435 0.01319 0.00450 -0.84122 0.00572 -0.59142 0.00476 -0.05262 0.00412 -0.21098 0.00428 -1.06539 0.00554 -0.38899 0.00494 0.14981 0.00433 -0.00856 0.00448 -0.86297 0.00570 -0.06951 0.00528 0.46929 0.00471 0.31093 0.00485 -0.54348 0.00599 0.35794 0.00587 0.89673 0.00537 0.73837 0.00549 -0.11604 0.00653 -0.84845 0.00457 -0.30965 0.00390 -0.46802 0.00407 -1.32243 0.00538 0.53880 0.00481 0.38043 0.00495 -0.47398 0.00607 -0.15837 0.00433 -1.01277 0.00558 -0.85441 0.00570
2459492.3178472 0.01722 0.00353 -0.36311 0.00495 0.17093 0.00435 0.00448 0.00451 -0.83850 0.00571 -0.58907 0.00475 -0.05502 0.00412 -0.22148 0.00429 -1.06445 0.00554 -0.38012 0.00494 0.15392 0.00433 -0.01253 0.00449 -0.85551 0.00570 -0.06199 0.00527 0.47205 0.00471 0.30560 0.00486 -0.53738 0.00599 0.36231 0.00587 0.89635 0.00537 0.72990 0.00550 -0.11308 0.00652 -0.84755 0.00457 -0.31351 0.00390 -0.47996 0.00408 -1.32294 0.00538 0.53404 0.00480 0.36759 0.00495 -0.47539 0.00606 -0.16645 0.00435 -1.00943 0.00558 -0.84298 0.00571
2459492.3186111 0.01859 0.00352 -0.36198 0.00495 0.17172 0.00435 0.01325 0.00450 -0.84233 0.00571 -0.58666 0.00475 -0.05296 0.00412 -0.21143 0.00428 -1.06701 0.00554 -0.38702 0.00492 0.14669 0.00432 -0.01178 0.00447 -0.86736 0.00569 -0.06079 0.00527 0.47292 0.00471 0.31445 0.00485 -0.54113 0.00599 0.36996 0.00587 0.90367 0.00538 0.74520 0.00550 -0.11038 0.00653 -0.84882 0.00456 -0.31511 0.00390 -0.47358 0.00407 -1.32916 0.00538 0.53371 0.00480 0.37524 0.00493 -0.48034 0.00606 -0.15847 0.00433 -1.01405 0.00558 -0.85558 0.00570
2459492.3193750 0.01992 0.00353 -0.36744 0.00496 0.17704 0.00434 0.00898 0.00451 -0.84443 0.00573 -0.59937 0.00476 -0.05489 0.00411 -0.22295 0.00428 -1.07636 0.00555 -0.38247 0.00495 0.16200 0.00433 -0.00606 0.00449 -0.85947 0.00572 -0.06373 0.00529 0.48075 0.00471 0.31269 0.00486 -0.54072 0.00601 0.35160 0.00587 0.89608 0.00535 0.72802 0.00549 -0.12539 0.00653 -0.85637 0.00457 -0.31189 0.00389 -0.47995 0.00407 -1.33336 0.00540 0.54448 0.00480 0.37642 0.00495 -0.47699 0.00609 -0.16806 0.00434 -1.02147 0.00559 -0.85341 0.00572
2459492.3201389 0.01503 0.00352 -0.36510 0.00495 0.16911 0.00434 0.00460 0.00450 -0.83549 0.00570 -0.58825 0.00475 -0.05404 0.00412 -0.21855 0.00429 -1.05865 0.00553 -0.38239 0.00493 0.15182 0.00433 -0.01269 0.00449 -0.85278 0.00568 -0.05541 0.00528 0.47880 0.00472 0.31429 0.00487 -0.52581 0.00599 0.36697 0.00587 0.90118 0.00537 0.73667 0.00550 -0.10343 0.00652 -0.85075 0.00456 -0.31654 0.00390 -0.48105 0.00407 -1.32115 0.00537 0.53421 0.00480 0.36970 0.00494 -0.47039 0.00605 -0.16451 0.00434 -1.00460 0.00557 -0.84010 0.00569
2459492.3208912 0.02277 0.00353 -0.36174 0.00496 0.17316 0.00435 0.01705 0.00450 -0.83560 0.00571 -0.59649 0.00475 -0.06158 0.00412 -0.21770 0.00428 -1.07034 0.00553 -0.38437 0.00493 0.15053 0.00433 -0.00558 0.00448 -0.85823 0.00569 -0.06358 0.00528 0.47132 0.00472 0.31521 0.00485 -0.53744 0.00599 0.35953 0.00587 0.89443 0.00537 0.73832 0.00549 -0.11433 0.00652 -0.85085 0.00456 -0.31594 0.00390 -0.47206 0.00407 -1.32470 0.00537 0.53491 0.00480 0.37879 0.00494 -0.47386 0.00606 -0.15612 0.00434 -1.00876 0.00558 -0.85265 0.00570
2459492.3216551 0.02192 0.00354 -0.36280 0.00497 0.17630 0.00436 0.01743 0.00451 -0.83534 0.00573 -0.59456 0.00476 -0.05545 0.00413 -0.21433 0.00429 -1.06709 0.00555 -0.38773 0.00495 0.15138 0.00433 -0.00750 0.00449 -0.86026 0.00570 -0.06419 0.00529 0.47492 0.00472 0.31604 0.00486 -0.53672 0.00601 0.36326 0.00589 0.90237 0.00539 0.74349 0.00551 -0.10927 0.00654 -0.85179 0.00458 -0.31268 0.00391 -0.47155 0.00408 -1.32432 0.00539 0.53911 0.00481 0.38023 0.00495 -0.47253 0.00608 -0.15887 0.00434 -1.01164 0.00559 -0.85276 0.00571
2459492.3224074 0.02376 0.00354 -0.35975 0.00497 0.18111 0.00436 0.01577 0.00452 -0.83281 0.00573 -0.59570 0.00476 -0.05484 0.00412 -0.22018 0.00429 -1.06876 0.00555 -0.38477 0.00495 0.15608 0.00433 -0.00926 0.00449 -0.85784 0.00571 -0.06343 0.00529 0.47743 0.00472 0.31209 0.00487 -0.53649 0.00601 0.36643 0.00589 0.90729 0.00539 0.74195 0.00552 -0.10663 0.00654 -0.85028 0.00458 -0.30943 0.00391 -0.47477 0.00408 -1.32334 0.00539 0.54085 0.00481 0.37551 0.00496 -0.47306 0.00608 -0.16534 0.00434 -1.01392 0.00559 -0.84858 0.00571
2459492.3231829 0.02339 0.00354 -0.35997 0.00497 0.17360 0.00436 0.01458 0.00452 -0.83689 0.00573 -0.59296 0.00476 -0.05939 0.00413 -0.21840 0.00429 -1.06987 0.00555 -0.38705 0.00494 0.14652 0.00434 -0.01249 0.00449 -0.86397 0.00571 -0.06086 0.00529 0.47271 0.00473 0.31370 0.00487 -0.53777 0.00601 0.36404 0.00589 0.89762 0.00539 0.73860 0.00551 -0.11287 0.00654 -0.85092 0.00457 -0.31735 0.00391 -0.47637 0.00408 -1.32784 0.00539 0.53357 0.00481 0.37456 0.00495 -0.47692 0.00608 -0.15902 0.00435 -1.01049 0.00560 -0.85147 0.00572
2459492.3239352 0.02501 0.00354 -0.35917 0.00497 0.17931 0.00436 0.01584 0.00452 -0.83823 0.00574 -0.59521 0.00476 -0.05673 0.00413 -0.22020 0.00429 -1.07426 0.00556 -0.38652 0.00495 0.15196 0.00434 -0.01151 0.00449 -0.86558 0.00572 -0.06635 0.00529 0.47214 0.00472 0.30867 0.00487 -0.54540 0.00601 0.36548 0.00589 0.90397 0.00539 0.74049 0.00552 -0.11357 0.00655 -0.84999 0.00458 -0.31151 0.00391 -0.47498 0.00409 -1.32905 0.00540 0.53849 0.00481 0.37501 0.00496 -0.47905 0.00609 -0.16347 0.00435 -1.01754 0.00560 -0.85406 0.00573
2459492.3246991 0.02394 0.00354 -0.36213 0.00497 0.18078 0.00436 0.01288 0.00452 -0.83760 0.00573 -0.59676 0.00477 -0.05385 0.00412 -0.22176 0.00429 -1.07223 0.00556 -0.38178 0.00495 0.16113 0.00434 -0.00677 0.00450 -0.85725 0.00572 -0.06662 0.00529 0.47629 0.00472 0.30839 0.00487 -0.54209 0.00601 0.35914 0.00589 0.90205 0.00538 0.73415 0.00551 -0.11633 0.00654 -0.85577 0.00458 -0.31286 0.00390 -0.48076 0.00408 -1.33124 0.00540 0.54291 0.00481 0.37501 0.00496 -0.47547 0.00609 -0.16791 0.00435 -1.01838 0.00560 -0.85048 0.00572
2459492.3254630 0.01823 0.00353 -0.36137 0.00496 0.17455 0.00436 0.01250 0.00451 -0.83993 0.00573 -0.58660 0.00476 -0.05068 0.00413 -0.21273 0.00429 -1.06517 0.00555 -0.38412 0.00494 0.15179 0.00433 -0.01025 0.00449 -0.86269 0.00571 -0.05354 0.00529 0.48237 0.00473 0.32032 0.00488 -0.53211 0.00602 0.35991 0.00587 0.89583 0.00537 0.73378 0.00550 -0.11865 0.00653 -0.84779 0.00457 -0.31188 0.00391 -0.47392 0.00408 -1.32636 0.00539 0.53591 0.00481 0.37387 0.00495 -0.47857 0.00608 -0.16205 0.00434 -1.01448 0.00559 -0.85244 0.00571
2459492.3262153 0.01559 0.00354 -0.36773 0.00497 0.16849 0.00436 0.00732 0.00452 -0.84496 0.00574 -0.59135 0.00477 -0.05513 0.00414 -0.21630 0.00430 -1.06858 0.00557 -0.38783 0.00495 0.14839 0.00434 -0.01278 0.00450 -0.86506 0.00572 -0.06404 0.00530 0.47218 0.00473 0.31101 0.00487 -0.54127 0.00602 0.36021 0.00589 0.89644 0.00539 0.73527 0.00552 -0.11702 0.00655 -0.84876 0.00458 -0.31254 0.00392 -0.47371 0.00409 -1.32599 0.00541 0.53623 0.00482 0.37506 0.00496 -0.47723 0.00609 -0.16117 0.00435 -1.01346 0.00561 -0.85229 0.00573
2459492.3269792 0.02093 0.00354 -0.36520 0.00498 0.17624 0.00437 0.00643 0.00453 -0.84481 0.00575 -0.59162 0.00478 -0.05017 0.00414 -0.21999 0.00431 -1.07122 0.00558 -0.38681 0.00496 0.15464 0.00434 -0.01517 0.00451 -0.86641 0.00573 -0.06382 0.00530 0.47763 0.00473 0.30782 0.00488 -0.54342 0.00603 0.36418 0.00590 0.90562 0.00540 0.73581 0.00553 -0.11543 0.00657 -0.85975 0.00458 -0.31830 0.00391 -0.48811 0.00409 -1.33935 0.00541 0.54145 0.00482 0.37163 0.00497 -0.47961 0.00610 -0.16981 0.00436 -1.02105 0.00562 -0.85124 0.00574
2459492.3277431 0.02209 0.00355 -0.36587 0.00499 0.17273 0.00438 0.00637 0.00454 -0.83855 0.00575 -0.59998 0.00478 -0.06137 0.00414 -0.22774 0.00431 -1.07265 0.00557 -0.39475 0.00496 0.14385 0.00435 -0.02252 0.00451 -0.86743 0.00573 -0.06304 0.00532 0.47556 0.00475 0.30919 0.00489 -0.53572 0.00604 0.36207 0.00592 0.90067 0.00541 0.73430 0.00554 -0.11061 0.00657 -0.85362 0.00460 -0.31502 0.00392 -0.48139 0.00410 -1.32630 0.00541 0.53860 0.00484 0.37224 0.00498 -0.47268 0.00611 -0.16637 0.00437 -1.01128 0.00562 -0.84491 0.00574
2459492.3285069 0.01818 0.00354 -0.36721 0.00498 0.17403 0.00436 0.00808 0.00452 -0.83964 0.00574 -0.59552 0.00477 -0.05428 0.00413 -0.22022 0.00430 -1.06795 0.00556 -0.38443 0.00496 0.15681 0.00434 -0.00913 0.00450 -0.85685 0.00572 -0.06069 0.00531 0.48055 0.00474 0.31461 0.00488 -0.53311 0.00603 0.35966 0.00590 0.90090 0.00539 0.73496 0.00552 -0.11276 0.00655 -0.85586 0.00459 -0.31462 0.00391 -0.48056 0.00409 -1.32828 0.00540 0.54124 0.00482 0.37530 0.00497 -0.47242 0.00609 -0.16594 0.00435 -1.01366 0.00560 -0.84772 0.00573
2459492.3292708 0.02142 0.00354 -0.36500 0.00498 0.17215 0.00437 0.00992 0.00452 -0.83839 0.00573 -0.59595 0.00477 -0.05880 0.00413 -0.22103 0.00430 -1.06934 0.00556 -0.38971 0.00495 0.14744 0.00434 -0.01479 0.00450 -0.86310 0.00571 -0.05708 0.00531 0.48007 0.00474 0.31784 0.00488 -0.53047 0.00602 0.35338 0.00588 0.89053 0.00538 0.72830 0.00550 -0.12000 0.00653 -0.85510 0.00458 -0.31795 0.00391 -0.48018 0.00408 -1.32848 0.00539 0.53715 0.00482 0.37492 0.00496 -0.47338 0.00609 -0.16223 0.00435 -1.01054 0.00560 -0.84830 0.00572
2459492.3300231 0.02412 0.00354 -0.36071 0.00497 0.17724 0.00436 0.01443 0.00452 -0.83142 0.00572 -0.59239 0.00476 -0.05444 0.00413 -0.21725 0.00429 -1.06311 0.00555 -0.38439 0.00495 0.15356 0.00434 -0.00926 0.00449 -0.85511 0.00570 -0.05908 0.00529 0.47887 0.00473 0.31605 0.00487 -0.52980 0.00601 0.35457 0.00587 0.89251 0.00537 0.72970 0.00549 -0.11615 0.00652 -0.85562 0.00457 -0.31767 0.00391 -0.48049 0.00408 -1.32634 0.00538 0.53795 0.00481 0.37514 0.00496 -0.47072 0.00607 -0.16281 0.00435 -1.00866 0.00559 -0.84585 0.00571
2459492.3307870 0.02147 0.00354 -0.36763 0.00497 0.17425 0.00436 0.01149 0.00451 -0.84514 0.00574 -0.59976 0.00477 -0.05789 0.00413 -0.22064 0.00429 -1.07727 0.00556 -0.38784 0.00495 0.15403 0.00434 -0.00872 0.00450 -0.86535 0.00573 -0.07047 0.00529 0.47141 0.00472 0.30865 0.00486 -0.54798 0.00602 0.35845 0.00589 0.90032 0.00538 0.73757 0.00551 -0.11907 0.00655 -0.85723 0.00458 -0.31536 0.00391 -0.47811 0.00408 -1.33474 0.00540 0.54187 0.00482 0.37912 0.00496 -0.47751 0.00610 -0.16275 0.00435 -1.01939 0.00561 -0.85663 0.00573
2459492.3315509 0.02455 0.00354 -0.36086 0.00498 0.17796 0.00437 0.01750 0.00452 -0.83204 0.00573 -0.59304 0.00477 -0.05423 0.00413 -0.21468 0.00429 -1.06422 0.00555 -0.38903 0.00495 0.14978 0.00433 -0.01067 0.00449 -0.86021 0.00571 -0.05955 0.00530 0.47927 0.00473 0.31881 0.00488 -0.53073 0.00601 0.36007 0.00589 0.89888 0.00538 0.73842 0.00551 -0.11112 0.00654 -0.85556 0.00458 -0.31675 0.00391 -0.47720 0.00408 -1.32674 0.00539 0.53881 0.00482 0.37836 0.00496 -0.47118 0.00608 -0.16046 0.00435 -1.01000 0.00559 -0.84954 0.00572
2459492.3323032 0.01502 0.00354 -0.36784 0.00497 0.16792 0.00436 0.00837 0.00452 -0.84189 0.00573 -0.59074 0.00477 -0.05498 0.00414 -0.21453 0.00430 -1.06479 0.00556 -0.38220 0.00495 0.15356 0.00435 -0.00599 0.00450 -0.85625 0.00572 -0.06232 0.00530 0.47344 0.00473 0.31389 0.00487 -0.53636 0.00602 0.36536 0.00590 0.90112 0.00540 0.74157 0.00552 -0.10869 0.00655 -0.85393 0.00458 -0.31817 0.00391 -0.47772 0.00408 -1.32797 0.00539 0.53576 0.00482 0.37621 0.00496 -0.47405 0.00608 -0.15955 0.00435 -1.00981 0.00560 -0.85026 0.00572
2459492.3330671 0.01670 0.00353 -0.36782 0.00497 0.17106 0.00436 0.00474 0.00452 -0.83944 0.00572 -0.59444 0.00477 -0.05556 0.00413 -0.22188 0.00430 -1.06606 0.00555 -0.38541 0.00495 0.15347 0.00434 -0.01285 0.00450 -0.85703 0.00571 -0.06345 0.00530 0.47543 0.00473 0.30910 0.00488 -0.53508 0.00601 0.35953 0.00589 0.89841 0.00538 0.73208 0.00552 -0.11210 0.00654 -0.85186 0.00458 -0.31298 0.00391 -0.47931 0.00409 -1.32349 0.00539 0.53888 0.00482 0.37255 0.00497 -0.47163 0.00608 -0.16632 0.00435 -1.01050 0.00559 -0.84418 0.00572
2459492.3338310 0.02572 0.00355 -0.35811 0.00498 0.18390 0.00436 0.01199 0.00453 -0.83356 0.00574 -0.59114 0.00477 -0.04912 0.00413 -0.22103 0.00430 -1.06659 0.00556 -0.38661 0.00495 0.15540 0.00433 -0.01650 0.00450 -0.86206 0.00572 -0.06724 0.00529 0.47477 0.00472 0.30286 0.00487 -0.54269 0.00601 0.36220 0.00589 0.90421 0.00538 0.73230 0.00552 -0.11325 0.00655 -0.85048 0.00458 -0.30846 0.00391 -0.48037 0.00409 -1.32593 0.00540 0.54202 0.00481 0.37011 0.00496 -0.47545 0.00609 -0.17191 0.00435 -1.01747 0.00560 -0.84556 0.00573
2459492.3345949 0.02849 0.00355 -0.35503 0.00497 0.17698 0.00437 0.01772 0.00453 -0.82615 0.00573 -0.59188 0.00476 -0.05987 0.00413 -0.21913 0.00430 -1.06300 0.00555 -0.38417 0.00495 0.14784 0.00434 -0.01142 0.00450 -0.85528 0.00570 -0.06223 0.00529 0.46979 0.00473 0.31053 0.00487 -0.53334 0.00600 0.36770 0.00589 0.89972 0.00540 0.74045 0.00552 -0.10341 0.00654 -0.85470 0.00457 -0.32269 0.00391 -0.48195 0.00408 -1.32581 0.00538 0.53202 0.00482 0.37275 0.00496 -0.47111 0.00607 -0.15926 0.00436 -1.00313 0.00559 -0.84387 0.00571
2459492.3360301 0.02278 0.00353 -0.35865 0.00495 0.17990 0.00435 0.01388 0.00451 -0.83304 0.00571 -0.59533 0.00474 -0.05677 0.00411 -0.22280 0.00428 -1.06971 0.00553 -0.38350 0.00493 0.15505 0.00432 -0.01097 0.00448 -0.85789 0.00569 -0.06510 0.00527 0.47346 0.00470 0.30744 0.00485 -0.53948 0.00598 0.36996 0.00587 0.90851 0.00537 0.74249 0.00550 -0.10443 0.00652 -0.84497 0.00456 -0.30641 0.00390 -0.47244 0.00407 -1.31935 0.00537 0.53856 0.00479 0.37253 0.00494 -0.47438 0.00605 -0.16602 0.00433 -1.01294 0.00557 -0.84692 0.00570
2459492.3367940 0.03040 0.00354 -0.34949 0.00496 0.18507 0.00436 0.02222 0.00452 -0.82989 0.00573 -0.58834 0.00475 -0.05378 0.00412 -0.21663 0.00428 -1.06873 0.00555 -0.38426 0.00493 0.15029 0.00432 -0.01255 0.00448 -0.86466 0.00570 -0.06026 0.00527 0.47429 0.00471 0.31145 0.00486 -0.54066 0.00600 0.36486 0.00587 0.89941 0.00537 0.73657 0.00550 -0.11554 0.00653 -0.84566 0.00456 -0.31111 0.00390 -0.47395 0.00407 -1.32606 0.00539 0.53455 0.00479 0.37171 0.00494 -0.48040 0.00607 -0.16285 0.00434 -1.01495 0.00559 -0.85211 0.00571
2459492.3375463 0.03309 0.00354 -0.35439 0.00497 0.18183 0.00436 0.02308 0.00451 -0.82896 0.00572 -0.59712 0.00475 -0.06090 0.00411 -0.21965 0.00428 -1.07169 0.00553 -0.39169 0.00493 0.14452 0.00432 -0.01422 0.00447 -0.86627 0.00569 -0.06712 0.00527 0.46910 0.00471 0.31035 0.00485 -0.54169 0.00599 0.35624 0.00586 0.89245 0.00536 0.73371 0.00548 -0.11834 0.00651 -0.85242 0.00456 -0.31621 0.00390 -0.47496 0.00407 -1.32700 0.00538 0.53621 0.00480 0.37747 0.00494 -0.47457 0.00606 -0.15875 0.00433 -1.01079 0.00558 -0.85204 0.00570
2459492.3382986 0.03631 0.00355 -0.34346 0.00497 0.19184 0.00436 0.02610 0.00452 -0.82703 0.00573 -0.58707 0.00475 -0.05177 0.00412 -0.21750 0.00428 -1.07064 0.00555 -0.37922 0.00493 0.15608 0.00432 -0.00966 0.00449 -0.86279 0.00570 -0.06209 0.00527 0.47321 0.00471 0.30747 0.00485 -0.54566 0.00600 0.36498 0.00586 0.90028 0.00536 0.73455 0.00549 -0.11859 0.00653 -0.84873 0.00456 -0.31343 0.00389 -0.47917 0.00407 -1.33230 0.00539 0.53530 0.00479 0.36957 0.00494 -0.48357 0.00607 -0.16573 0.00433 -1.01887 0.00559 -0.85314 0.00571
2459492.3390625 0.03091 0.00354 -0.36065 0.00498 0.18544 0.00436 0.01996 0.00452 -0.82263 0.00571 -0.60510 0.00476 -0.05901 0.00411 -0.22450 0.00428 -1.06708 0.00553 -0.39522 0.00494 0.15087 0.00432 -0.01461 0.00448 -0.85720 0.00568 -0.06770 0.00529 0.47839 0.00472 0.31290 0.00486 -0.52968 0.00599 0.36008 0.00589 0.90617 0.00538 0.74068 0.00551 -0.10190 0.00652 -0.85805 0.00458 -0.31196 0.00390 -0.47745 0.00408 -1.32003 0.00537 0.54609 0.00481 0.38060 0.00496 -0.46198 0.00606 -0.16548 0.00434 -1.00807 0.00557 -0.84259 0.00570
2459492.3398148 0.03347 0.00355 -0.34762 0.00496 0.18807 0.00436 0.02340 0.00452 -0.82980 0.00573 -0.59142 0.00475 -0.05573 0.00411 -0.22041 0.00428 -1.07361 0.00555 -0.38560 0.00493 0.15009 0.00432 -0.01458 0.00448 -0.86778 0.00570 -0.06182 0.00527 0.47387 0.00471 0.30920 0.00486 -0.54400 0.00600 0.36522 0.00587 0.90092 0.00537 0.73624 0.00550 -0.11696 0.00653 -0.84562 0.00456 -0.30993 0.00390 -0.47460 0.00407 -1.32780 0.00539 0.53569 0.00479 0.37102 0.00494 -0.48218 0.00607 -0.16468 0.00433 -1.01788 0.00559 -0.85320 0.00571
2459492.3405787 0.03555 0.00355 -0.34560 0.00497 0.19349 0.00437 0.02485 0.00453 -0.82938 0.00575 -0.58743 0.00476 -0.04834 0.00412 -0.21698 0.00429 -1.07121 0.00556 -0.38833 0.00493 0.15076 0.00432 -0.01788 0.00448 -0.87211 0.00571 -0.05797 0.00528 0.48112 0.00472 0.31248 0.00487 -0.54175 0.00602 0.36662 0.00588 0.90571 0.00538 0.73707 0.00551 -0.11716 0.00655 -0.84952 0.00457 -0.31043 0.00390 -0.47907 0.00408 -1.33330 0.00540 0.53909 0.00480 0.37045 0.00495 -0.48378 0.00608 -0.16864 0.00434 -1.02287 0.00560 -0.85423 0.00573
2459492.3413426 0.03774 0.00355 -0.35526 0.00498 0.18842 0.00437 0.02734 0.00452 -0.83240 0.00575 -0.60171 0.00476 -0.05803 0.00412 -0.21912 0.00428 -1.07885 0.00556 -0.39566 0.00494 0.14801 0.00432 -0.01307 0.00448 -0.87280 0.00571 -0.07497 0.00528 0.46871 0.00471 0.30762 0.00485 -0.55211 0.00601 0.35245 0.00588 0.89613 0.00537 0.73505 0.00549 -0.12469 0.00654 -0.85914 0.00458 -0.31546 0.00390 -0.47655 0.00407 -1.33628 0.00540 0.54368 0.00481 0.38260 0.00496 -0.47714 0.00609 -0.16108 0.00434 -1.02082 0.00560 -0.85974 0.00573
2459492.3421065 0.03258 0.00355 -0.35037 0.00497 0.18323 0.00437 0.01984 0.00452 -0.82783 0.00572 -0.59089 0.00475 -0.05729 0.00412 -0.22068 0.00429 -1.06835 0.00554 -0.38497 0.00493 0.14863 0.00433 -0.01476 0.00449 -0.86243 0.00570 -0.05894 0.00528 0.47466 0.00472 0.31127 0.00487 -0.53640 0.00600 0.36487 0.00587 0.89848 0.00538 0.73509 0.00550 -0.11258 0.00653 -0.85377 0.00456 -0.32017 0.00390 -0.48356 0.00408 -1.33122 0.00538 0.53360 0.00480 0.37021 0.00495 -0.47746 0.00606 -0.16339 0.00434 -1.01106 0.00558 -0.84767 0.00571
2459492.3428588 0.03470 0.00355 -0.34706 0.00497 0.19912 0.00436 0.02231 0.00453 -0.82461 0.00574 -0.58962 0.00476 -0.04345 0.00411 -0.22026 0.00429 -1.06717 0.00555 -0.38508 0.00494 0.16110 0.00432 -0.01571 0.00449 -0.86263 0.00571 -0.05839 0.00529 0.48779 0.00471 0.31097 0.00487 -0.53594 0.00601 0.35954 0.00587 0.90571 0.00536 0.72890 0.00550 -0.11802 0.00653 -0.84934 0.00457 -0.30317 0.00389 -0.47998 0.00408 -1.32690 0.00539 0.54618 0.00480 0.36937 0.00495 -0.47755 0.00607 -0.17681 0.00434 -1.02373 0.00558 -0.84692 0.00572
2459492.3436227 0.04181 0.00356 -0.34974 0.00499 0.19266 0.00438 0.03100 0.00453 -0.82218 0.00574 -0.60896 0.00476 -0.06656 0.00412 -0.22822 0.00428 -1.08140 0.00555 -0.39027 0.00495 0.15214 0.00433 -0.00953 0.00449 -0.86271 0.00571 -0.06328 0.00530 0.47912 0.00473 0.31746 0.00487 -0.53572 0.00601 0.35790 0.00589 0.90031 0.00538 0.73865 0.00551 -0.11454 0.00654 -0.85964 0.00458 -0.31723 0.00390 -0.47890 0.00408 -1.33208 0.00539 0.54241 0.00482 0.38074 0.00496 -0.47244 0.00608 -0.16166 0.00434 -1.01485 0.00559 -0.85318 0.00572
2459492.3443866 0.03309 0.00355 -0.35017 0.00497 0.19166 0.00436 0.02167 0.00452 -0.82692 0.00572 -0.59177 0.00475 -0.04994 0.00411 -0.21993 0.00429 -1.06852 0.00554 -0.38648 0.00493 0.15535 0.00432 -0.01464 0.00448 -0.86323 0.00569 -0.05987 0.00528 0.48196 0.00471 0.31197 0.00486 -0.53662 0.00600 0.36504 0.00587 0.90687 0.00537 0.73688 0.00550 -0.11171 0.00653 -0.85271 0.00456 -0.31088 0.00389 -0.48087 0.00407 -1.32946 0.00538 0.54183 0.00480 0.37184 0.00495 -0.47675 0.00607 -0.16999 0.00433 -1.01858 0.00558 -0.84859 0.00571
2459492.3451389 0.03828 0.00356 -0.34054 0.00497 0.19757 0.00437 0.02277 0.00454 -0.82201 0.00574 -0.58910 0.00475 -0.05099 0.00412 -0.22579 0.00429 -1.07056 0.00555 -0.38152 0.00493 0.15658 0.00432 -0.01821 0.00450 -0.86299 0.00571 -0.05601 0.00528 0.48209 0.00472 0.30730 0.00487 -0.53748 0.00601 0.36371 0.00586 0.90181 0.00536 0.72702 0.00550 -0.11776 0.00653 -0.84503 0.00456 -0.30692 0.00390 -0.48172 0.00409 -1.32650 0.00539 0.53811 0.00479 0.36331 0.00495 -0.48147 0.00607 -0.17480 0.00434 -1.01957 0.00559 -0.84478 0.00572
2459492.3459144 0.03789 0.00355 -0.34759 0.00497 0.19414 0.00437 0.02801 0.00452 -0.82242 0.00573 -0.59504 0.00475 -0.05331 0.00411 -0.21944 0.00428 -1.06986 0.00554 -0.38205 0.00494 0.15968 0.00433 -0.00645 0.00449 -0.85688 0.00570 -0.06356 0.00528 0.47818 0.00471 0.31204 0.00486 -0.53838 0.00600 0.35790 0.00587 0.89963 0.00536 0.73350 0.00549 -0.11693 0.00652 -0.85611 0.00456 -0.31438 0.00389 -0.48051 0.00407 -1.33094 0.00538 0.54173 0.00480 0.37560 0.00495 -0.47483 0.00607 -0.16613 0.00433 -1.01656 0.00558 -0.85043 0.00571
2459492.3466667 0.04494 0.00356 -0.34172 0.00499 0.19351 0.00438 0.03445 0.00454 -0.81597 0.00574 -0.59598 0.00476 -0.06075 0.00412 -0.21981 0.00429 -1.07023 0.00554 -0.38900 0.00494 0.14623 0.00433 -0.01283 0.00449 -0.86325 0.00570 -0.06708 0.00529 0.46815 0.00472 0.30910 0.00486 -0.54133 0.00600 0.36273 0.00589 0.89796 0.00538 0.73890 0.00551 -0.11152 0.00653 -0.85459 0.00458 -0.31936 0.00391 -0.47841 0.00408 -1.32883 0.00538 0.53523 0.00482 0.37618 0.00496 -0.47425 0.00607 -0.15905 0.00435 -1.00948 0.00559 -0.85042 0.00571
