JD V-C s1 V-K1 s2 V-K2 s3 V-K3 s4 C1-K1 s5 C1-K2 s6 C1-K3 s7 C2-K1 s8 C2-K2 s9 C2-K3 s10 C3-K1 s11 C3-K2 s12 C3-K3 s13 K1-K2 s14 K1-K3 s15 K2-K3 s16
Aperture: 6, Filter: L, JD: geocentric
2459543.3667708 0.59723 0.00945 1.19834 0.00976 0.74368 0.01038 0.13946 0.01169 1.23957 0.00994 0.78491 0.01054 0.18069 0.01184 0.96422 0.00896 0.50956 0.00962 -0.09466 0.01103 0.00671 0.00675 -0.44794 0.00761 -1.05217 0.00932 -0.45466 0.00759 -1.05888 0.00930 -0.60422 0.00994
2459543.3675347 0.58222 0.00946 1.18521 0.00977 0.72938 0.01039 0.12583 0.01171 1.25166 0.01004 0.79582 0.01065 0.19228 0.01194 0.96095 0.00899 0.50511 0.00966 -0.09844 0.01107 0.00748 0.00677 -0.44836 0.00764 -1.05190 0.00936 -0.45584 0.00762 -1.05938 0.00934 -0.60355 0.00999
2459543.3682986 0.58781 0.00946 1.19150 0.00978 0.73912 0.01039 0.13138 0.01171 1.25808 0.01004 0.80570 0.01063 0.19796 0.01193 0.96885 0.00899 0.51647 0.00965 -0.09127 0.01106 0.00339 0.00677 -0.44899 0.00762 -1.05673 0.00934 -0.45238 0.00761 -1.06012 0.00933 -0.60774 0.00997
2459543.3690509 0.58097 0.00938 1.19248 0.00969 0.73274 0.01031 0.12908 0.01161 1.26905 0.00997 0.80931 0.01057 0.20565 0.01184 0.96541 0.00891 0.50566 0.00959 -0.09799 0.01097 0.01488 0.00672 -0.44487 0.00759 -1.04853 0.00927 -0.45974 0.00757 -1.06340 0.00925 -0.60366 0.00990
2459543.3698264 0.59384 0.00943 1.19845 0.00975 0.74470 0.01036 0.13676 0.01168 1.25401 0.00997 0.80025 0.01057 0.19231 0.01187 0.95867 0.00894 0.50491 0.00960 -0.10302 0.01102 0.01049 0.00674 -0.44327 0.00760 -1.05120 0.00932 -0.45376 0.00757 -1.06169 0.00930 -0.60793 0.00994
2459543.3705903 0.57362 0.00932 1.18157 0.00963 0.72331 0.01025 0.11885 0.01156 1.25689 0.00994 0.79863 0.01055 0.19418 0.01182 0.96787 0.00891 0.50961 0.00958 -0.09484 0.01097 0.01152 0.00672 -0.44674 0.00758 -1.05119 0.00927 -0.45826 0.00756 -1.06271 0.00926 -0.60445 0.00990
2459543.3713542 0.58560 0.00945 1.18687 0.00978 0.73123 0.01040 0.12623 0.01172 1.25312 0.01006 0.79749 0.01067 0.19248 0.01195 0.95882 0.00902 0.50319 0.00970 -0.10182 0.01109 0.00491 0.00680 -0.45072 0.00767 -1.05573 0.00937 -0.45563 0.00766 -1.06064 0.00937 -0.60501 0.01002
2459543.3721181 0.58437 0.00972 1.18700 0.01005 0.74298 0.01066 0.13385 0.01201 1.25058 0.01028 0.80655 0.01088 0.19742 0.01221 0.96045 0.00921 0.51642 0.00988 -0.09271 0.01133 0.00740 0.00695 -0.43662 0.00781 -1.04575 0.00957 -0.44403 0.00779 -1.05315 0.00956 -0.60913 0.01021
2459543.3728704 0.58132 0.00952 1.17925 0.00984 0.72798 0.01046 0.13055 0.01177 1.24581 0.01010 0.79454 0.01070 0.19711 0.01198 0.95059 0.00905 0.49931 0.00972 -0.09812 0.01112 0.00488 0.00683 -0.44640 0.00770 -1.04383 0.00940 -0.45128 0.00768 -1.04870 0.00939 -0.59743 0.01003
2459543.3743171 0.57283 0.00943 1.17619 0.00975 0.72440 0.01037 0.10924 0.01171 1.24578 0.01002 0.79398 0.01062 0.17883 0.01193 0.96276 0.00902 0.51096 0.00968 -0.10419 0.01111 0.00925 0.00679 -0.44255 0.00765 -1.05770 0.00939 -0.45179 0.00763 -1.06695 0.00937 -0.61515 0.01001
2459543.3750810 0.57621 0.00939 1.18351 0.00971 0.71857 0.01035 0.12146 0.01164 1.25253 0.01000 0.78760 0.01062 0.19048 0.01189 0.96482 0.00894 0.49988 0.00962 -0.09723 0.01101 0.01306 0.00675 -0.45188 0.00764 -1.04900 0.00932 -0.46494 0.00761 -1.06205 0.00930 -0.59711 0.00996
2459543.3758449 0.57730 0.00931 1.18183 0.00962 0.72500 0.01024 0.11910 0.01153 1.25171 0.00986 0.79487 0.01046 0.18898 0.01172 0.96170 0.00889 0.50487 0.00955 -0.10103 0.01092 0.00982 0.00668 -0.44701 0.00754 -1.05291 0.00921 -0.45683 0.00753 -1.06273 0.00920 -0.60590 0.00984
2459543.3766088 0.57434 0.00923 1.17970 0.00954 0.72974 0.01014 0.11593 0.01145 1.24297 0.00979 0.79301 0.01037 0.17920 0.01166 0.96635 0.00885 0.51639 0.00950 -0.09742 0.01088 0.01212 0.00665 -0.43784 0.00749 -1.05165 0.00918 -0.44996 0.00746 -1.06377 0.00916 -0.61381 0.00979
2459543.3773843 0.55936 0.00925 1.16903 0.00956 0.71345 0.01017 0.10700 0.01147 1.26137 0.00991 0.80579 0.01050 0.19934 0.01177 0.97309 0.00888 0.51750 0.00954 -0.08895 0.01092 0.01094 0.00667 -0.44464 0.00753 -1.05109 0.00921 -0.45558 0.00751 -1.06204 0.00920 -0.60646 0.00983
2459543.3781366 0.57248 0.00923 1.17857 0.00954 0.72972 0.01014 0.11921 0.01143 1.26226 0.00986 0.81341 0.01044 0.20289 0.01170 0.96604 0.00883 0.51719 0.00949 -0.09333 0.01085 0.00739 0.00664 -0.44147 0.00748 -1.05198 0.00915 -0.44885 0.00747 -1.05937 0.00914 -0.61052 0.00977
2459543.3789005 0.56659 0.00916 1.16514 0.00948 0.71009 0.01010 0.10993 0.01138 1.24836 0.00975 0.79331 0.01035 0.19315 0.01160 0.94742 0.00876 0.49238 0.00943 -0.10779 0.01079 0.00647 0.00662 -0.44858 0.00747 -1.04874 0.00913 -0.45505 0.00746 -1.05521 0.00912 -0.60016 0.00976
2459543.3796528 0.57486 0.00920 1.17840 0.00952 0.72456 0.01012 0.13403 0.01137 1.24925 0.00979 0.79541 0.01038 0.20488 0.01159 0.96234 0.00879 0.50850 0.00944 -0.08202 0.01076 0.00861 0.00663 -0.44523 0.00748 -1.03576 0.00909 -0.45384 0.00746 -1.04437 0.00908 -0.59053 0.00971
2459543.3804282 0.55022 0.00909 1.15573 0.00940 0.69416 0.01002 0.10056 0.01129 1.25843 0.00975 0.79686 0.01035 0.20326 0.01158 0.96394 0.00876 0.50237 0.00943 -0.09123 0.01076 0.00845 0.00659 -0.45312 0.00745 -1.04672 0.00908 -0.46157 0.00744 -1.05517 0.00907 -0.59360 0.00971
2459543.3811921 0.56654 0.00915 1.17027 0.00946 0.71241 0.01007 0.12059 0.01133 1.24789 0.00974 0.79004 0.01033 0.19821 0.01156 0.96612 0.00877 0.50826 0.00942 -0.08356 0.01076 0.00782 0.00659 -0.45004 0.00744 -1.04186 0.00907 -0.45785 0.00743 -1.04968 0.00906 -0.59183 0.00970
2459543.3819560 0.56583 0.00916 1.17457 0.00947 0.72010 0.01007 0.11507 0.01137 1.25173 0.00975 0.79727 0.01034 0.19223 0.01160 0.96974 0.00877 0.51528 0.00942 -0.08976 0.01079 0.01376 0.00660 -0.44070 0.00745 -1.04574 0.00912 -0.45447 0.00742 -1.05950 0.00910 -0.60504 0.00973
2459543.3827199 0.55751 0.00914 1.15759 0.00946 0.70629 0.01006 0.10134 0.01137 1.25774 0.00983 0.80644 0.01042 0.20149 0.01168 0.95299 0.00874 0.50169 0.00939 -0.10327 0.01078 0.00382 0.00662 -0.44748 0.00745 -1.05243 0.00914 -0.45130 0.00745 -1.05625 0.00913 -0.60495 0.00976
2459543.3834838 0.56362 0.00920 1.16952 0.00951 0.70917 0.01013 0.10079 0.01146 1.25940 0.00989 0.79905 0.01049 0.19067 0.01178 0.96419 0.00880 0.50384 0.00946 -0.10454 0.01088 0.00872 0.00662 -0.45163 0.00748 -1.06001 0.00921 -0.46035 0.00747 -1.06873 0.00920 -0.60838 0.00984
2459543.3842477 0.55606 0.00919 1.15615 0.00951 0.70591 0.01012 0.09564 0.01146 1.24928 0.00983 0.79904 0.01043 0.18877 0.01173 0.96181 0.00885 0.51157 0.00950 -0.09870 0.01091 0.00285 0.00665 -0.44739 0.00750 -1.05766 0.00923 -0.45024 0.00749 -1.06051 0.00921 -0.61027 0.00985
2459543.3850116 0.56115 0.00918 1.16725 0.00949 0.70607 0.01011 0.09706 0.01143 1.25512 0.00981 0.79395 0.01042 0.18493 0.01171 0.96241 0.00882 0.50123 0.00949 -0.10779 0.01089 0.01116 0.00663 -0.45002 0.00749 -1.05904 0.00920 -0.46118 0.00747 -1.07019 0.00918 -0.60901 0.00982
2459543.3857755 0.55538 0.00918 1.15887 0.00950 0.69476 0.01013 0.10254 0.01141 1.23763 0.00982 0.77352 0.01043 0.18129 0.01168 0.97125 0.00888 0.50714 0.00955 -0.08509 0.01090 0.00857 0.00665 -0.45554 0.00753 -1.04777 0.00918 -0.46411 0.00751 -1.05634 0.00917 -0.59223 0.00982
2459543.3865278 0.55279 0.00923 1.16039 0.00954 0.70540 0.01015 0.10942 0.01146 1.25284 0.00984 0.79785 0.01044 0.20187 0.01171 0.96132 0.00885 0.50633 0.00951 -0.08965 0.01089 0.01494 0.00665 -0.44004 0.00751 -1.03603 0.00920 -0.45499 0.00748 -1.05097 0.00918 -0.59598 0.00981
2459543.3873032 0.54129 0.00916 1.14608 0.00946 0.69024 0.01009 0.09333 0.01138 1.25471 0.00991 0.79888 0.01051 0.20197 0.01175 0.96599 0.00887 0.51015 0.00953 -0.08676 0.01089 0.00753 0.00665 -0.44831 0.00751 -1.04522 0.00917 -0.45584 0.00749 -1.05275 0.00915 -0.59691 0.00980
2459543.3880671 0.54158 0.00915 1.13756 0.00948 0.69634 0.01007 0.08367 0.01142 1.24237 0.00990 0.80115 0.01046 0.18848 0.01177 0.95307 0.00887 0.51185 0.00950 -0.10082 0.01092 0.00156 0.00667 -0.43966 0.00749 -1.05233 0.00922 -0.44122 0.00748 -1.05389 0.00922 -0.61267 0.00983
2459543.3888194 0.53750 0.00909 1.13671 0.00941 0.69226 0.01001 0.07302 0.01137 1.24333 0.00984 0.79888 0.01041 0.17964 0.01172 0.95365 0.00881 0.50920 0.00944 -0.11004 0.01087 0.00660 0.00665 -0.43785 0.00747 -1.05709 0.00921 -0.44445 0.00746 -1.06369 0.00920 -0.61924 0.00981
2459543.3895833 0.54675 0.00914 1.14401 0.00946 0.69730 0.01006 0.09801 0.01137 1.24487 0.00985 0.79816 0.01043 0.19887 0.01170 0.95705 0.00883 0.51035 0.00947 -0.08895 0.01085 0.00132 0.00664 -0.44538 0.00747 -1.04468 0.00915 -0.44670 0.00746 -1.04600 0.00915 -0.59930 0.00977
2459543.3903472 0.54428 0.00909 1.14927 0.00940 0.69719 0.01000 0.08304 0.01131 1.25520 0.00978 0.80312 0.01037 0.18897 0.01164 0.96530 0.00878 0.51322 0.00943 -0.10093 0.01081 0.00801 0.00658 -0.44407 0.00743 -1.05822 0.00912 -0.45208 0.00741 -1.06623 0.00910 -0.61415 0.00973
2459543.3911111 0.52871 0.00900 1.13043 0.00931 0.68090 0.00992 0.07870 0.01125 1.24073 0.00973 0.79120 0.01031 0.18900 0.01159 0.95680 0.00874 0.50727 0.00938 -0.09494 0.01078 0.01050 0.00659 -0.43903 0.00742 -1.04124 0.00913 -0.44953 0.00740 -1.05174 0.00911 -0.60221 0.00972
2459543.3918634 0.53289 0.00901 1.13085 0.00932 0.67760 0.00993 0.07569 0.01123 1.24657 0.00975 0.79332 0.01033 0.19141 0.01159 0.95558 0.00873 0.50233 0.00937 -0.09958 0.01074 0.00261 0.00657 -0.45064 0.00740 -1.05255 0.00908 -0.45325 0.00740 -1.05516 0.00907 -0.60191 0.00970
2459543.3926273 0.53778 0.00905 1.14089 0.00936 0.68316 0.00998 0.09494 0.01123 1.24870 0.00979 0.79097 0.01037 0.20275 0.01159 0.95735 0.00875 0.49962 0.00940 -0.08860 0.01073 0.01013 0.00659 -0.44759 0.00743 -1.03582 0.00905 -0.45773 0.00742 -1.04595 0.00904 -0.58822 0.00967
2459543.3933912 0.53183 0.00906 1.13630 0.00937 0.68130 0.00999 0.07775 0.01130 1.24768 0.00977 0.79267 0.01037 0.18912 0.01164 0.96924 0.00878 0.51424 0.00944 -0.08931 0.01081 0.00788 0.00658 -0.44712 0.00744 -1.05067 0.00912 -0.45500 0.00743 -1.05855 0.00911 -0.60355 0.00975
2459543.3941551 0.52146 0.00905 1.13187 0.00935 0.67466 0.00997 0.07736 0.01128 1.25533 0.00983 0.79812 0.01041 0.20082 0.01168 0.96280 0.00876 0.50559 0.00941 -0.09171 0.01080 0.01841 0.00660 -0.43880 0.00745 -1.03610 0.00913 -0.45721 0.00741 -1.05451 0.00910 -0.59730 0.00973
2459543.3956134 0.52699 0.00904 1.12592 0.00935 0.67770 0.00996 0.06422 0.01131 1.25384 0.00983 0.80562 0.01042 0.19214 0.01171 0.95608 0.00881 0.50786 0.00946 -0.10562 0.01086 0.00177 0.00660 -0.44646 0.00744 -1.05994 0.00916 -0.44822 0.00744 -1.06170 0.00916 -0.61348 0.00979
2459543.3963657 0.52294 0.00906 1.12135 0.00938 0.67074 0.01001 0.07403 0.01131 1.24829 0.00986 0.79768 0.01046 0.20097 0.01171 0.95470 0.00880 0.50410 0.00947 -0.09262 0.01084 0.00320 0.00663 -0.44740 0.00749 -1.04412 0.00916 -0.45061 0.00748 -1.04732 0.00915 -0.59672 0.00979
2459543.3971412 0.51311 0.00907 1.12400 0.00938 0.66398 0.01001 0.05148 0.01138 1.25384 0.00986 0.79382 0.01046 0.18131 0.01179 0.97308 0.00884 0.51306 0.00951 -0.09945 0.01095 0.01545 0.00663 -0.44457 0.00749 -1.05707 0.00925 -0.46002 0.00747 -1.07253 0.00923 -0.61251 0.00987
2459543.3978935 0.52676 0.00916 1.12991 0.00947 0.67537 0.01008 0.07294 0.01145 1.24630 0.00988 0.79177 0.01047 0.18933 0.01179 0.95894 0.00887 0.50440 0.00953 -0.09803 0.01096 0.01030 0.00667 -0.44424 0.00751 -1.04667 0.00927 -0.45454 0.00749 -1.05697 0.00925 -0.60243 0.00987
2459543.3986574 0.51774 0.00914 1.12616 0.00944 0.66918 0.01007 0.06765 0.01140 1.25409 0.00993 0.79710 0.01054 0.19558 0.01181 0.95891 0.00887 0.50193 0.00954 -0.09960 0.01093 0.01697 0.00667 -0.44001 0.00754 -1.04154 0.00923 -0.45698 0.00751 -1.05851 0.00921 -0.60152 0.00986
2459543.3994097 0.51916 0.00920 1.12396 0.00951 0.67455 0.01013 0.05933 0.01152 1.24744 0.00997 0.79803 0.01055 0.18280 0.01189 0.96147 0.00892 0.51206 0.00957 -0.10316 0.01103 0.01175 0.00670 -0.43766 0.00755 -1.05289 0.00933 -0.44941 0.00753 -1.06463 0.00931 -0.61522 0.00994
2459543.4001736 0.51315 0.00914 1.12130 0.00944 0.67108 0.01005 0.05482 0.01143 1.26124 0.00998 0.81102 0.01056 0.19477 0.01188 0.96068 0.00887 0.51046 0.00952 -0.10580 0.01097 0.01349 0.00665 -0.43673 0.00750 -1.05298 0.00926 -0.45022 0.00747 -1.06648 0.00924 -0.61626 0.00987
2459543.4009375 0.49863 0.00907 1.10452 0.00937 0.65513 0.01000 0.04893 0.01137 1.24719 0.00993 0.79779 0.01052 0.19160 0.01183 0.96588 0.00887 0.51648 0.00953 -0.08972 0.01096 0.01189 0.00665 -0.43750 0.00751 -1.04370 0.00926 -0.44940 0.00748 -1.05559 0.00923 -0.60620 0.00987
2459543.4016898 0.51060 0.00912 1.11357 0.00944 0.65769 0.01007 0.05578 0.01143 1.24242 0.00993 0.78655 0.01054 0.18464 0.01185 0.95450 0.00889 0.49862 0.00956 -0.10328 0.01099 0.01308 0.00668 -0.44280 0.00755 -1.04471 0.00929 -0.45588 0.00753 -1.05778 0.00928 -0.60191 0.00992
2459543.4024537 0.51319 0.00916 1.11940 0.00947 0.66514 0.01009 0.05251 0.01149 1.25326 0.00995 0.79900 0.01054 0.18637 0.01189 0.95193 0.00887 0.49767 0.00953 -0.11496 0.01100 0.01634 0.00669 -0.43791 0.00754 -1.05054 0.00933 -0.45426 0.00751 -1.06689 0.00930 -0.61263 0.00993
2459543.4032060 0.50698 0.00910 1.10893 0.00941 0.65770 0.01002 0.06171 0.01137 1.24512 0.00994 0.79389 0.01052 0.19790 0.01181 0.95447 0.00888 0.50325 0.00953 -0.09274 0.01094 0.01044 0.00666 -0.44078 0.00750 -1.03677 0.00923 -0.45122 0.00749 -1.04721 0.00921 -0.59599 0.00984
2459543.4039699 0.50588 0.00908 1.11245 0.00937 0.65650 0.01000 0.05696 0.01134 1.25607 0.00990 0.80012 0.01049 0.20058 0.01178 0.96167 0.00885 0.50572 0.00951 -0.09382 0.01092 0.01198 0.00662 -0.44396 0.00748 -1.04351 0.00920 -0.45595 0.00746 -1.05549 0.00918 -0.59954 0.00982
2459543.4047222 0.50182 0.00904 1.10090 0.00934 0.64956 0.00997 0.04309 0.01134 1.25352 0.00994 0.80218 0.01054 0.19571 0.01183 0.94981 0.00882 0.49847 0.00948 -0.10800 0.01091 0.00475 0.00664 -0.44659 0.00749 -1.05306 0.00923 -0.45134 0.00747 -1.05781 0.00921 -0.60647 0.00985
2459543.4054861 0.50010 0.00908 1.11052 0.00938 0.65226 0.01002 0.05642 0.01136 1.24850 0.00989 0.79023 0.01050 0.19439 0.01179 0.96710 0.00889 0.50883 0.00957 -0.08701 0.01097 0.01883 0.00664 -0.43943 0.00753 -1.03527 0.00924 -0.45827 0.00749 -1.05410 0.00921 -0.59584 0.00987
2459543.4062384 0.50322 0.00912 1.11008 0.00941 0.65679 0.01004 0.05067 0.01140 1.26028 0.01002 0.80699 0.01061 0.20087 0.01191 0.95691 0.00888 0.50361 0.00954 -0.10251 0.01097 0.01313 0.00664 -0.44016 0.00750 -1.04628 0.00925 -0.45329 0.00748 -1.05942 0.00923 -0.60612 0.00986
2459543.4070023 0.48634 0.00905 1.08781 0.00935 0.64593 0.00997 0.03745 0.01134 1.24023 0.00994 0.79835 0.01052 0.18987 0.01183 0.95433 0.00891 0.51245 0.00956 -0.09602 0.01098 0.01125 0.00668 -0.43062 0.00752 -1.03910 0.00926 -0.44188 0.00749 -1.05036 0.00924 -0.60848 0.00986
2459543.4077662 0.50662 0.00914 1.11264 0.00943 0.65018 0.01009 0.04783 0.01145 1.25623 0.00998 0.79377 0.01061 0.19142 0.01191 0.96088 0.00889 0.49842 0.00959 -0.10394 0.01101 0.01131 0.00665 -0.45115 0.00756 -1.05350 0.00929 -0.46246 0.00753 -1.06481 0.00927 -0.60235 0.00995
2459543.4085301 0.49087 0.00907 1.09219 0.00937 0.63814 0.01001 0.03404 0.01139 1.24824 0.00997 0.79419 0.01057 0.19009 0.01190 0.95554 0.00889 0.50149 0.00956 -0.10261 0.01100 0.00792 0.00666 -0.44613 0.00753 -1.05023 0.00929 -0.45405 0.00751 -1.05815 0.00928 -0.60410 0.00992
2459543.4092940 0.49903 0.00908 1.09910 0.00938 0.65562 0.00999 0.04019 0.01139 1.24706 0.00998 0.80358 0.01056 0.18815 0.01189 0.95133 0.00887 0.50785 0.00951 -0.10758 0.01097 0.00787 0.00665 -0.43560 0.00749 -1.05103 0.00928 -0.44348 0.00747 -1.05891 0.00926 -0.61543 0.00988
2459543.4100579 0.49450 0.00904 1.10066 0.00933 0.64224 0.00997 0.04805 0.01134 1.25229 0.00995 0.79387 0.01055 0.19968 0.01186 0.96272 0.00887 0.50430 0.00953 -0.08989 0.01096 0.01204 0.00663 -0.44638 0.00750 -1.04057 0.00925 -0.45842 0.00748 -1.05261 0.00923 -0.59419 0.00988
2459543.4108102 0.49208 0.00903 1.08616 0.00933 0.63679 0.00996 0.03394 0.01133 1.23585 0.00990 0.78648 0.01049 0.18363 0.01179 0.94484 0.00882 0.49547 0.00948 -0.10738 0.01091 0.00377 0.00662 -0.44559 0.00748 -1.04844 0.00922 -0.44937 0.00747 -1.05222 0.00921 -0.60285 0.00984
2459543.4115741 0.49102 0.00899 1.10208 0.00928 0.64854 0.00990 0.05079 0.01125 1.26414 0.00994 0.81060 0.01052 0.21286 0.01181 0.96309 0.00883 0.50954 0.00948 -0.08820 0.01089 0.01662 0.00660 -0.43692 0.00745 -1.03467 0.00917 -0.45354 0.00742 -1.05129 0.00915 -0.59774 0.00978
2459543.4123380 0.48338 0.00899 1.09052 0.00928 0.63548 0.00991 0.02014 0.01136 1.24865 0.00985 0.79361 0.01045 0.17826 0.01183 0.96978 0.00882 0.51474 0.00949 -0.10061 0.01098 0.01198 0.00659 -0.44306 0.00746 -1.05840 0.00929 -0.45504 0.00743 -1.07038 0.00926 -0.61534 0.00990
2459543.4131019 0.48747 0.00899 1.09745 0.00928 0.64755 0.00989 0.03826 0.01128 1.26017 0.00991 0.81026 0.01049 0.20097 0.01181 0.95939 0.00884 0.50949 0.00949 -0.09980 0.01093 0.01756 0.00661 -0.43234 0.00745 -1.04163 0.00921 -0.44991 0.00741 -1.05920 0.00918 -0.60929 0.00981
2459543.4138542 0.47902 0.00904 1.08862 0.00932 0.63091 0.00996 0.02856 0.01135 1.26725 0.01003 0.80954 0.01063 0.20719 0.01194 0.96149 0.00884 0.50378 0.00951 -0.09857 0.01096 0.01376 0.00661 -0.44395 0.00749 -1.04630 0.00925 -0.45771 0.00745 -1.06006 0.00923 -0.60235 0.00988
2459543.4146181 0.47821 0.00895 1.08143 0.00925 0.63277 0.00987 0.01699 0.01129 1.25021 0.00992 0.80154 0.01050 0.18577 0.01184 0.96185 0.00883 0.51319 0.00948 -0.10259 0.01094 0.00797 0.00660 -0.44070 0.00745 -1.05647 0.00924 -0.44866 0.00743 -1.06444 0.00923 -0.61578 0.00985
2459543.4153935 0.48355 0.00894 1.08609 0.00924 0.63093 0.00987 0.02442 0.01128 1.25722 0.00989 0.80205 0.01049 0.19555 0.01182 0.95454 0.00881 0.49937 0.00948 -0.10713 0.01093 0.00761 0.00658 -0.44756 0.00745 -1.05406 0.00923 -0.45517 0.00744 -1.06167 0.00922 -0.60650 0.00986
2459543.4168403 0.47693 0.00889 1.08253 0.00919 0.63347 0.00981 0.02517 0.01123 1.24591 0.00981 0.79685 0.01040 0.18856 0.01174 0.95932 0.00880 0.51026 0.00945 -0.09804 0.01091 0.01451 0.00658 -0.43455 0.00743 -1.04284 0.00921 -0.44906 0.00740 -1.05736 0.00919 -0.60830 0.00982
2459543.4176042 0.47568 0.00888 1.07982 0.00917 0.63205 0.00979 0.02704 0.01119 1.24888 0.00985 0.80110 0.01043 0.19609 0.01175 0.95660 0.00878 0.50883 0.00943 -0.09618 0.01088 0.01217 0.00656 -0.43561 0.00740 -1.04062 0.00917 -0.44777 0.00739 -1.05279 0.00916 -0.60501 0.00978
2459543.4183681 0.47645 0.00893 1.08270 0.00923 0.61549 0.00988 0.01836 0.01128 1.25399 0.00982 0.78678 0.01044 0.18965 0.01177 0.96873 0.00879 0.50152 0.00947 -0.09561 0.01092 0.00916 0.00656 -0.45805 0.00745 -1.05518 0.00922 -0.46721 0.00744 -1.06434 0.00921 -0.59713 0.00987
2459543.4191204 0.47779 0.00892 1.08034 0.00921 0.62103 0.00986 0.03562 0.01119 1.24982 0.00991 0.79052 0.01051 0.20510 0.01177 0.95986 0.00878 0.50056 0.00945 -0.08486 0.01083 0.00774 0.00657 -0.45157 0.00744 -1.03698 0.00913 -0.45930 0.00743 -1.04472 0.00912 -0.58542 0.00977
2459543.4198843 0.47079 0.00888 1.07441 0.00918 0.61829 0.00981 0.01984 0.01116 1.24641 0.00984 0.79029 0.01044 0.19184 0.01171 0.94722 0.00872 0.49110 0.00939 -0.10736 0.01079 0.01602 0.00656 -0.44010 0.00743 -1.03856 0.00913 -0.45612 0.00740 -1.05457 0.00911 -0.59845 0.00975
2459543.4206481 0.47393 0.00892 1.07598 0.00920 0.62235 0.00984 0.02293 0.01124 1.25042 0.00993 0.79678 0.01052 0.19737 0.01185 0.96050 0.00880 0.50686 0.00946 -0.09255 0.01092 0.00642 0.00656 -0.44722 0.00742 -1.04663 0.00920 -0.45364 0.00740 -1.05305 0.00919 -0.59942 0.00982
2459543.4214120 0.47273 0.00896 1.07725 0.00925 0.62726 0.00987 0.02101 0.01123 1.25768 0.00998 0.80769 0.01056 0.20145 0.01184 0.95385 0.00882 0.50386 0.00948 -0.10238 0.01088 0.01117 0.00659 -0.43882 0.00744 -1.04507 0.00916 -0.44999 0.00742 -1.05623 0.00915 -0.60624 0.00978
2459543.4221644 0.47729 0.00894 1.08205 0.00923 0.62529 0.00987 0.01887 0.01127 1.24196 0.00988 0.78520 0.01048 0.17878 0.01180 0.96008 0.00880 0.50332 0.00947 -0.10310 0.01091 0.01402 0.00658 -0.44274 0.00745 -1.04916 0.00922 -0.45676 0.00743 -1.06318 0.00920 -0.60642 0.00985
2459543.4229282 0.46927 0.00892 1.07255 0.00922 0.61842 0.00985 0.02087 0.01124 1.24904 0.00991 0.79490 0.01050 0.19736 0.01181 0.96658 0.00884 0.51244 0.00950 -0.08510 0.01093 0.00648 0.00659 -0.44765 0.00745 -1.04520 0.00920 -0.45414 0.00743 -1.05168 0.00919 -0.59754 0.00983
2459543.4236921 0.47806 0.00901 1.08492 0.00929 0.63219 0.00993 0.02204 0.01140 1.25178 0.00998 0.79905 0.01057 0.18890 0.01196 0.94902 0.00886 0.49629 0.00953 -0.11385 0.01105 0.01918 0.00662 -0.43355 0.00749 -1.04370 0.00935 -0.45273 0.00745 -1.06288 0.00932 -0.61015 0.00995
2459543.4244560 0.46540 0.00899 1.07312 0.00926 0.61374 0.00992 0.02154 0.01131 1.25603 0.01002 0.79665 0.01062 0.20445 0.01193 0.95822 0.00884 0.49884 0.00952 -0.09336 0.01097 0.01544 0.00661 -0.44395 0.00750 -1.03614 0.00926 -0.45938 0.00746 -1.05158 0.00923 -0.59219 0.00989
2459543.4252083 0.45603 0.00896 1.07257 0.00924 0.60695 0.00989 0.00692 0.01131 1.26407 0.01000 0.79845 0.01061 0.19842 0.01194 0.97469 0.00886 0.50907 0.00954 -0.09096 0.01100 0.02131 0.00659 -0.44432 0.00748 -1.04435 0.00927 -0.46563 0.00745 -1.06566 0.00924 -0.60003 0.00990
2459543.4259722 0.46031 0.00893 1.07702 0.00921 0.61414 0.00985 0.00814 0.01130 1.25979 0.00993 0.79691 0.01053 0.19090 0.01189 0.96579 0.00882 0.50291 0.00950 -0.10309 0.01099 0.02669 0.00660 -0.43619 0.00748 -1.04219 0.00930 -0.46288 0.00743 -1.06889 0.00926 -0.60601 0.00990
2459543.4267245 0.46100 0.00889 1.07948 0.00917 0.60877 0.00984 0.00883 0.01123 1.26029 0.00983 0.78957 0.01045 0.18963 0.01178 0.97110 0.00879 0.50039 0.00949 -0.09955 0.01093 0.02738 0.00655 -0.44333 0.00745 -1.04327 0.00922 -0.47071 0.00741 -1.07065 0.00918 -0.59994 0.00984
2459543.4274884 0.45313 0.00886 1.06190 0.00915 0.61187 0.00978 0.01083 0.01115 1.26017 0.00995 0.81014 0.01053 0.20910 0.01181 0.95639 0.00879 0.50636 0.00944 -0.09468 0.01086 0.01672 0.00658 -0.43331 0.00743 -1.03435 0.00916 -0.45003 0.00741 -1.05107 0.00914 -0.60104 0.00977
2459543.4282407 0.46884 0.00893 1.07337 0.00922 0.61940 0.00985 0.02148 0.01123 1.25579 0.00993 0.80183 0.01053 0.20391 0.01183 0.95302 0.00876 0.49906 0.00943 -0.09886 0.01086 0.01214 0.00657 -0.44183 0.00743 -1.03975 0.00918 -0.45396 0.00740 -1.05188 0.00916 -0.59792 0.00979
