JD V-C s1 V-K1 s2 V-K2 s3 V-K3 s4 C1-K1 s5 C1-K2 s6 C1-K3 s7 C2-K1 s8 C2-K2 s9 C2-K3 s10 C3-K1 s11 C3-K2 s12 C3-K3 s13 K1-K2 s14 K1-K3 s15 K2-K3 s16
Aperture: 6, Filter: L, JD: geocentric
2459543.3234838 0.55988 0.01186 1.16602 0.01221 0.72383 0.01298 0.10821 0.01472 1.25687 0.01268 0.81468 0.01342 0.19905 0.01511 0.96522 0.01129 0.52303 0.01212 -0.09260 0.01397 0.00951 0.00842 -0.43268 0.00951 -1.04830 0.01177 -0.44219 0.00947 -1.05782 0.01174 -0.61563 0.01254
2459543.3242361 0.56488 0.00969 1.17153 0.01001 0.71796 0.01064 0.10795 0.01203 1.25308 0.01033 0.79951 0.01095 0.18951 0.01230 0.97008 0.00926 0.51651 0.00994 -0.09350 0.01142 0.00957 0.00695 -0.44400 0.00783 -1.05400 0.00964 -0.45357 0.00781 -1.06357 0.00962 -0.61000 0.01028
2459543.3250000 0.58363 0.00984 1.19309 0.01016 0.73902 0.01080 0.12259 0.01219 1.25358 0.01041 0.79952 0.01104 0.18308 0.01240 0.96723 0.00933 0.51317 0.01003 -0.10327 0.01151 0.01547 0.00703 -0.43859 0.00793 -1.05503 0.00974 -0.45406 0.00790 -1.07050 0.00972 -0.61643 0.01038
2459543.3257523 0.57159 0.00956 1.18722 0.00986 0.72135 0.01051 0.10818 0.01188 1.26044 0.01015 0.79457 0.01078 0.18140 0.01212 0.97389 0.00911 0.50802 0.00981 -0.10515 0.01126 0.02122 0.00685 -0.44464 0.00776 -1.05781 0.00953 -0.46587 0.00772 -1.07904 0.00950 -0.61317 0.01017
2459543.3265162 0.58070 0.00956 1.18616 0.00988 0.73407 0.01050 0.11616 0.01188 1.25061 0.01012 0.79852 0.01073 0.18061 0.01208 0.96434 0.00908 0.51226 0.00976 -0.10566 0.01123 0.01067 0.00684 -0.44141 0.00771 -1.05933 0.00950 -0.45209 0.00769 -1.07000 0.00949 -0.61791 0.01014
2459543.3272801 0.57120 0.00939 1.17817 0.00971 0.71987 0.01033 0.11984 0.01162 1.26277 0.01002 0.80448 0.01063 0.20444 0.01189 0.95974 0.00897 0.50145 0.00965 -0.09859 0.01102 0.01136 0.00675 -0.44694 0.00762 -1.04698 0.00930 -0.45830 0.00761 -1.05834 0.00928 -0.60004 0.00994
2459543.3280440 0.58115 0.00940 1.18970 0.00971 0.73150 0.01033 0.12304 0.01166 1.25803 0.00997 0.79983 0.01058 0.19137 0.01188 0.97114 0.00895 0.51294 0.00962 -0.09552 0.01104 0.01086 0.00673 -0.44735 0.00759 -1.05581 0.00933 -0.45820 0.00757 -1.06666 0.00931 -0.60846 0.00995
2459543.3287963 0.59354 0.00947 1.19938 0.00977 0.74381 0.01038 0.12680 0.01173 1.25623 0.00998 0.80066 0.01058 0.18365 0.01191 0.96819 0.00896 0.51262 0.00962 -0.10440 0.01107 0.00797 0.00672 -0.44760 0.00758 -1.06462 0.00935 -0.45557 0.00756 -1.07258 0.00933 -0.61701 0.00997
2459543.3295602 0.58396 0.00940 1.19097 0.00971 0.72492 0.01034 0.12371 0.01166 1.26377 0.00997 0.79772 0.01059 0.19651 0.01188 0.96258 0.00890 0.49653 0.00959 -0.10468 0.01099 0.00991 0.00672 -0.45614 0.00760 -1.05735 0.00931 -0.46605 0.00759 -1.06726 0.00930 -0.60121 0.00996
2459543.3303125 0.58099 0.00942 1.18979 0.00972 0.74081 0.01033 0.12742 0.01168 1.25701 0.01000 0.80803 0.01059 0.19464 0.01190 0.96720 0.00896 0.51822 0.00962 -0.09517 0.01105 0.01325 0.00674 -0.43573 0.00759 -1.04912 0.00934 -0.44898 0.00756 -1.06237 0.00931 -0.61338 0.00995
