JD,V-C,s1
2459543.4714815,0.52315,0.00908
2459543.4722454,0.51644,0.00908
2459543.4730093,0.52946,0.00915
2459543.4737731,0.52189,0.00914
2459543.4745255,0.53766,0.00911
2459543.4752778,0.53011,0.00917
2459543.4760417,0.53135,0.00916
2459543.4768056,0.53553,0.00920
2459543.4775694,0.53286,0.00919
2459543.4783218,0.53091,0.00914
2459543.4790856,0.54181,0.00923
2459543.4805324,0.55528,0.00926
2459543.4812963,0.54782,0.00925
2459543.4820602,0.55088,0.00922
2459543.4828241,0.54554,0.00925
2459543.4835880,0.55283,0.00925
2459543.4843403,0.55394,0.00927
2459543.4851042,0.54789,0.00917
2459543.4858681,0.55931,0.00925
2459543.4866319,0.55496,0.00927
2459543.4873843,0.54732,0.00921
2459543.4881481,0.55031,0.00927
2459543.4889120,0.56300,0.00924
2459543.4896644,0.57131,0.00925
2459543.4904282,0.54418,0.00919
2459543.4918981,0.55686,0.00931
2459543.4926505,0.56691,0.00929
2459543.4934144,0.57381,0.00931
2459543.4941667,0.56990,0.00940
2459543.4949306,0.56694,0.00934
2459543.4956944,0.57653,0.00937
2459543.4964468,0.58384,0.00937
2459543.4972106,0.57491,0.00941
2459543.4979630,0.57100,0.00938
2459543.4987269,0.57083,0.00931
2459543.4994792,0.58264,0.00939
2459543.5002431,0.58056,0.00946
2459543.5016898,0.58254,0.00944
2459543.5024537,0.57600,0.00940
2459543.5032060,0.57517,0.00944
2459543.5039699,0.58789,0.00945
2459543.5047338,0.57933,0.00937
2459543.5054977,0.58827,0.00942
2459543.5062500,0.58066,0.00936
2459543.5070139,0.58404,0.00935
2459543.5077778,0.57346,0.00941
2459543.5085417,0.57835,0.00947
2459543.5093056,0.57369,0.00946
2459543.5100694,0.57993,0.00939
2459543.5108218,0.57685,0.00946
2459543.5115741,0.57629,0.00952
2459543.5123380,0.58164,0.00952
2459543.5130903,0.57048,0.00948
2459543.5138542,0.58104,0.00948
2459543.5146181,0.56800,0.00937
2459543.5153819,0.56791,0.00933
2459543.5161343,0.57653,0.00933
2459543.5168981,0.57980,0.00937
2459543.5176620,0.57278,0.00933
2459543.5184144,0.57049,0.00933
2459543.5191782,0.56888,0.00935
2459543.5199421,0.57371,0.00940
2459543.5207060,0.56847,0.00935
2459543.5214583,0.57989,0.00940
2459543.5229051,0.57437,0.00942
2459543.5236690,0.56966,0.00944
2459543.5244213,0.56760,0.00938
2459543.5251852,0.56442,0.00931
2459543.5259491,0.57206,0.00936
2459543.5267130,0.56146,0.00935
2459543.5274653,0.56296,0.00935
2459543.5282292,0.55928,0.00935
2459543.5289931,0.57099,0.00944
2459543.5297454,0.56743,0.00946
2459543.5305208,0.55872,0.00948
2459543.5312731,0.56215,0.00942
2459543.5320370,0.55836,0.00948
2459543.5327894,0.55504,0.00955
2459543.5335648,0.55462,0.00956
2459543.5343287,0.55245,0.00945
2459543.5350926,0.55048,0.00942
2459543.5358565,0.55809,0.00938
2459543.5366204,0.54261,0.00943
2459543.5373843,0.55638,0.00950
2459543.5381366,0.55481,0.00959
2459543.5389005,0.53132,0.00949
2459543.5396644,0.53477,0.00959
2459543.5404167,0.53922,0.00941
2459543.5411806,0.53223,0.00948
2459543.5419329,0.53843,0.00947
2459543.5426968,0.53312,0.00942
2459543.5441319,0.52789,0.00934
2459543.5448958,0.54296,0.00946
2459543.5456597,0.53214,0.00953
2459543.5464236,0.52366,0.00934
2459543.5471875,0.52853,0.00941
2459543.5479398,0.51358,0.00942
2459543.5487037,0.52001,0.00953
2459543.5494676,0.51342,0.00933
2459543.5502315,0.51848,0.00957
2459543.5509838,0.51314,0.00940
2459543.5517477,0.51955,0.00941
2459543.5525116,0.50767,0.00938
2459543.5532755,0.51378,0.00951
2459543.5540278,0.51726,0.00951
2459543.5547917,0.50842,0.00948
2459543.5555556,0.50453,0.00953
2459543.5563194,0.50759,0.00953
2459543.5570718,0.50152,0.00943
2459543.5578472,0.50261,0.00966
2459543.5585995,0.50748,0.00996
2459543.5593634,0.50778,0.00992
2459543.5601157,0.50009,0.00992
2459543.5608796,0.49408,0.01026
2459543.5616319,0.48211,0.01009
2459543.5623958,0.48473,0.01215
2459543.5631597,0.48670,0.01496
